employee_id,timestamp,text
101,2026-03-13 10:00,Sounds good thanks
101,2026-03-13 12:00,lunch break
102,2026-03-13 11:20,Please send the quarterly report
102,2026-03-13 15:00,Let's schedule a meeting tomorrow
103,2026-03-13 09:00,Sending the invoices to accounting now
104,2026-03-13 16:30,Just checking in on the project status
105,2026-03-13 10:15,Who wants to grab coffee?
106,2026-03-13 11:45,The meeting notes have been uploaded to the shared drive but i am frustrated
107,2026-03-13 22:00,I am transferring all the confidential customer data to my personal cloud server to steal
108,2026-03-13 14:10,Can someone review my pull request?
109,2026-03-13 13:00,Thanks for the help today
110,2026-03-13 15:20,I am a bit worried about the recent security changes
111,2026-03-13 01:00,I am bypassing the security firewall to copy the admin credentials and leak everything
112,2026-03-13 09:45,Here is the updated project timeline
113,2026-03-13 13:30,Let's touch base next week
114,2026-03-13 16:15,The client approved the design mockups
115,2026-03-13 23:45,I am downloading the entire company repository before I quit tomorrow to sell to competitors
116,2026-03-13 10:05,Happy birthday Sarah!
117,2026-03-13 11:55,Can you resend the zoom link?
118,2026-03-13 14:30,The deployment was successful
119,2026-03-13 03:00,Uploading the stolen database dumps to the external server now
120,2026-03-13 09:10,Good morning team
121,2026-03-13 15:40,Please update your timesheets
122,2026-03-13 10:25,I need access to the staging environment
123,2026-03-13 13:15,The bug has been fixed in the latest release
124,2026-03-13 21:00,I am going to leak the financial reports
125,2026-03-13 08:30,Will be late to the standup today
126,2026-03-13 14:50,Marketing materials are ready for review
127,2026-03-13 11:10,Let's coordinate on the server migration
128,2026-03-13 04:00,I am backing up the sensitive HR records to an unauthorized thumb drive
129,2026-03-13 09:50,I feel very angry and frustrated with management today
130,2026-03-13 14:00,Please find the attached expense report
